Campus Name,Campus,Campus Type,Campus Type Description
21ST CENTURY EARLY LEARNING FOUNDATIONS ACADEMY,108913118,21,21-Suburb: Large
2ND H S IN THE DISTRICT,152906004,41,41-Rural: Fringe
3D ACADEMY,108902006,21,21-Suburb: Large
A & M CONS H S,021901001,12,12-City: Mid-size
A & M CONSOLIDATED MIDDLE,021901042,12,12-City: Mid-size
A B DUNCAN COLLEGIATE EL,077901101,41,41-Rural: Fringe
A B MCBAY EL,147903103,33,33-Town: Remote
A C BLUNT MIDDLE,205901041,31,31-Town: Fringe
A C JONES H S,013901001,32,32-Town: Distant
A E BUTLER INT,116908101,41,41-Rural: Fringe
A G ELDER EL,126905103,21,21-Suburb: Large
A LEAL JR MIDDLE,015904042,11,11-City: Large
A M OCHOA EL,108902104,21,21-Suburb: Large
A M PATE EL,220905153,11,11-City: Large
A N RICO EL,108913113,21,21-Suburb: Large
A P BEUTEL EL,020905102,23,23-Suburb: Small
A P SOLIS MIDDLE,108902045,21,21-Suburb: Large
A V CATO EL,220917101,11,11-City: Large
A+ ACADEMY EL,057829001,11,11-City: Large
A+ SECONDARY SCHOOL,057829002,11,11-City: Large
A+ UNLIMITED POTENTIAL - UNIVERSITY,101871102,11,11-City: Large
AARON PARKER EL,139911102,42,42-Rural: Distant
AB HARRISON INT,043914042,21,21-Suburb: Large
ABBETT EL,057909143,21,21-Suburb: Large
ABBOTT SCHOOL,109901001,42,42-Rural: Distant
ABELL J H,165901047,12,12-City: Mid-size
ABERNATHY DAEP,095901003,33,33-Town: Remote
ABERNATHY EL,095901101,31,31-Town: Fringe
ABERNATHY H S,095901001,31,31-Town: Fringe
ABERNATHY MIDDLE,095901041,31,31-Town: Fringe
ABILENE H S,221901001,12,12-City: Mid-size
ABOUT FACE PROGRAM EL,071902171,11,11-City: Large
ABRAHAM KAZEN MIDDLE,015908046,11,11-City: Large
ACADEMY AT CARRIE F THOMAS,220902116,21,21-Suburb: Large
ACADEMY AT NOLA DUNN,126902101,21,21-Suburb: Large
ACADEMY EL,014901102,41,41-Rural: Fringe
ACADEMY FOR TECHNOLOGY ENGINEERING MATH & SCIENCE,221901010,41,41-Rural: Fringe
ACADEMY H S,014901001,41,41-Rural: Fringe
ACADEMY INT,014901101,41,41-Rural: Fringe
ACADEMY J H,014901041,41,41-Rural: Fringe
ACADEMY OF ACCELERATED LEARNING,101810002,11,11-City: Large
ACADEMY OF CHOICE,101920016,21,21-Suburb: Large
ACADEMY OF CREATIVE ED,015910008,11,11-City: Large
ACADEMY OF DALLAS,057810101,11,11-City: Large
ACCELERATED INT CHARTER SCHOOL,101849041,11,11-City: Large
ACCELERATED INTERDISCIPLINARY ACAD,101849101,11,11-City: Large
ACHIEVE ACADEMY,043914004,21,21-Suburb: Large
ACHIEVE EARLY COLLEGE H S,108906011,12,12-City: Mid-size
ACHZIGER EL,057914132,41,41-Rural: Fringe
ACTON EL,111901102,32,32-Town: Distant
ACTON MIDDLE,111901042,41,41-Rural: Fringe
AD WHEAT MIDDLE,126903107,41,41-Rural: Fringe
ADA MAE FAUBION EL,246913102,21,21-Suburb: Large
ADAM EL,101907107,21,21-Suburb: Large
ADAMS EL,126903101,41,41-Rural: Fringe
ADAMS EL,220901161,11,11-City: Large
ADAMS HILL EL,015915123,11,11-City: Large
ADAMS J H,101914056,41,41-Rural: Fringe
ADAMS MIDDLE,125901043,32,32-Town: Distant
ADELFA BOTELLO CALLEJO EL,057905247,11,11-City: Large
ADELLE TURNER EL,057905219,11,11-City: Large
ADKINS MIDDLE,178904057,11,11-City: Large
ADMIN SERVICES,101903199,11,11-City: Large
ADRIAN SCHOOL,180903001,43,43-Rural: Remote
ADULT ED,031901035,12,12-City: Mid-size
ADULT LEARNING CTR,221901004,12,12-City: Mid-size
ADULT TRANSITION CENTER,043910190,11,11-City: Large
ADULT TRANSITION SERVICES,227909005,11,11-City: Large
ADULT/COMMUNITY LRN CTR,071905013,11,11-City: Large
ADVANCED LEARNING ACADEMY,015907026,11,11-City: Large
ADVANTAGE ACADEMY,057806101,21,21-Suburb: Large
ADVENTHEALTH SCHOOL,014906022,12,12-City: Mid-size
AGNES COTTON ACADEMY,015907117,11,11-City: Large
AGNEW MIDDLE,057914041,21,21-Suburb: Large
AGUA DULCE EL,178901101,42,42-Rural: Distant
AGUA DULCE H S,178901001,42,42-Rural: Distant
AGUIRRE J H,101905043,21,21-Suburb: Large
AIA LANCASTER EL,101849105,41,41-Rural: Fringe
AIDA C ESCOBAR EL,108909113,21,21-Suburb: Large
AIKEN EL,031901133,12,12-City: Mid-size
AIKIN EL,139909109,33,33-Town: Remote
AIKIN EL,057916135,11,11-City: Large
AIKMAN EL,059901101,32,32-Town: Distant
AIM COLLEGE & CAREER PREP,084902007,31,31-Town: Fringe
AIRPORT EL,108913110,21,21-Suburb: Large
AKIN EL,095903102,42,42-Rural: Distant
AKINS H S,227901017,11,11-City: Large
ALAMO EL,101911101,13,13-City: Small
ALAMO HEIGHTS H S,015901001,21,21-Suburb: Large
ALAMO HEIGHTS J H,015901041,11,11-City: Large
ALAMO J H,165901041,12,12-City: Mid-size
ALAMO MIDDLE,108909042,21,21-Suburb: Large
ALAMO MIDDLE,070903044,32,32-Town: Distant
ALAN B SHEPARD MIDDLE,015908042,11,11-City: Large
ALBA-GOLDEN EL,250906101,42,42-Rural: Distant
ALBA-GOLDEN H S,250906001,42,42-Rural: Distant
ALBANY JR-SR H S,209901001,43,43-Rural: Remote
ALBERT & IOLA LEE DAVIS MALVERN EL,043907118,22,22-Suburb: Mid-size
ALBERT C WILLIAMS EL,116903104,41,41-Rural: Fringe
ALBERTO AND CELIA BARRERA EL,214901104,32,32-Town: Distant
ALBRIGHT MIDDLE,101903045,21,21-Suburb: Large
ALCOTT EL,101912102,11,11-City: Large
ALDERSON EL,152901194,11,11-City: Large
ALDINE H S,101902001,11,11-City: Large
ALDINE MIDDLE,101902041,21,21-Suburb: Large
ALDRIDGE EL,043910106,12,12-City: Mid-size
ALEDO H S,184907001,41,41-Rural: Fringe
ALEDO MIDDLE,184907041,31,31-Town: Fringe
ALEX SANGER PREPARATORY SCHOOL,057905206,11,11-City: Large
ALEX W SPENCE TALENTED/GIFTED ACADEMY,057905058,11,11-City: Large
ALEXANDER EL,101903114,11,11-City: Large
ALEXANDER MIDDLE,020908115,21,21-Suburb: Large
ALFONSO BORREGO SR EL,071904104,21,21-Suburb: Large
ALFONSO RAMIREZ EL,108904129,12,12-City: Mid-size
ALFRED SORENSEN EL,108909112,21,21-Suburb: Large
ALICE CARLSON APPLIED LRN CTR,220905101,11,11-City: Large
ALICE D CONTRERAS,220905220,11,11-City: Large
ALICE H S,125901001,32,32-Town: Distant
ALICE JOHNSON J H,101905041,21,21-Suburb: Large
ALICE MOORE ALEXANDER,061901104,12,12-City: Mid-size
ALICE PONDER EL,220908101,21,21-Suburb: Large
ALICE W DOUSE EL,014906140,41,41-Rural: Fringe
ALICIA R CHACON INTERNATIONAL,071905138,11,11-City: Large
ALIEF EARLY COLLEGE H S,101903012,11,11-City: Large
ALIEF ISD J J A E P,101903047,11,11-City: Large
ALIEF LEARNING CTR (6-12),101903005,11,11-City: Large
ALIEF LEARNING CTR (K-6),101903205,11,11-City: Large
ALIEF MIDDLE,101903041,11,11-City: Large
ALIEF MONTESSORI COMMUNITY SCHOOL,101815101,11,11-City: Large
ALKEK EL,010902101,42,42-Rural: Distant
ALLAN K & CAROLYN H BIRD EDUCATION CENTER,043910196,11,11-City: Large
ALLEN & WILLIAM ARNOLD EL,108909130,21,21-Suburb: Large
ALLEN EL,015915106,11,11-City: Large
ALLEN EL,043905129,21,21-Suburb: Large
ALLEN EL,178904101,11,11-City: Large
ALLEN H S,043901001,21,21-Suburb: Large
ALLIENE MULLENDORE EL,220902105,21,21-Suburb: Large
ALLISON EL,227901101,11,11-City: Large
ALLISON L STEELE E L C,094902002,21,21-Suburb: Large
ALMA BREWER STRAWN EL,028902106,42,42-Rural: Distant
ALMA MARTINEZ INT,220908208,41,41-Rural: Fringe
ALMEDA EL,101912104,11,11-City: Large
ALMETA CRAWFORD H S,079907018,12,12-City: Mid-size
ALOE EL,235902101,41,41-Rural: Fringe
ALONSO S PERALES EL,015905106,11,11-City: Large
ALPHA,170906012,31,31-Town: Fringe
ALPINE EL,022901101,33,33-Town: Remote
ALPINE H S,022901001,33,33-Town: Remote
ALPINE MIDDLE,022901041,33,33-Town: Remote
ALTA LOMA EL,226903101,13,13-City: Small
ALTA VISTA EL,161914101,12,12-City: Mid-size
ALTER DISCIPLINE CAMPUS,220918003,11,11-City: Large
ALTER ED CTR,068901004,41,41-Rural: Fringe
ALTER ED PROG,220916004,21,21-Suburb: Large
ALTER H S,015910012,11,11-City: Large
ALTER IMPACT CTR,105906002,41,41-Rural: Fringe
ALTER LEARNING CTR,126906002,31,31-Town: Fringe
ALTER MIDDLE,015910053,11,11-City: Large
ALTER SCH,086901002,33,33-Town: Remote
ALTER SCH,123908002,22,22-Suburb: Mid-size
ALTER SCHOOL,250906002,42,42-Rural: Distant
ALTERNATIVE CENTER,015905042,11,11-City: Large
ALTERNATIVE EDUCATION PROGRAM,170906011,31,31-Town: Fringe
ALTERNATIVE EDUCATION SCHOOL,123905002,22,22-Suburb: Mid-size
ALTERNATIVE EL,015915172,11,11-City: Large
ALTERNATIVE EL,015910160,11,11-City: Large
ALTERNATIVE H S,015915008,11,11-City: Large
ALTERNATIVE LEARNING CENTER,079901004,21,21-Suburb: Large
ALTERNATIVE LEARNING CENTER,227901012,11,11-City: Large
ALTERNATIVE LEARNING CTR - WEST,101907014,21,21-Suburb: Large
ALTERNATIVE LEARNING CTR-EAST,101907006,21,21-Suburb: Large
ALTERNATIVE MIDDLE,015915062,11,11-City: Large
ALTERNATIVE SCHOOL,247906002,41,41-Rural: Fringe
ALTERNATIVE SCHOOL,036902005,41,41-Rural: Fringe
ALTO BONITO EL,214901110,41,41-Rural: Fringe
ALTO EL,037901101,42,42-Rural: Distant
ALTO H S,037901001,42,42-Rural: Distant
ALTO MIDDLE,037901041,42,42-Rural: Distant
ALTON BOWEN EL,021902117,13,13-City: Small
ALTON BOYD EL,043901102,21,21-Suburb: Large
ALTON EL,239901101,32,32-Town: Distant
ALTON EL,108908107,21,21-Suburb: Large
ALTON MEMORIAL J H,108908043,21,21-Suburb: Large
ALVARADO EL-NORTH,126901102,41,41-Rural: Fringe
ALVARADO EL-SOUTH,126901101,41,41-Rural: Fringe
ALVARADO H S,126901001,31,31-Town: Fringe
ALVARADO INT,126901104,41,41-Rural: Fringe
ALVARADO J H,126901041,41,41-Rural: Fringe
ALVAREZ EL,108906101,12,12-City: Mid-size
ALVIN EL,020901101,21,21-Suburb: Large
ALVIN H S,020901001,21,21-Suburb: Large
ALVIN J H,020901041,21,21-Suburb: Large
ALVIN V ANDERSON RISE ACADEMY,212905010,12,12-City: Mid-size
ALVIS C STORY EL,043901105,21,21-Suburb: Large
ALVORD EL,249901101,42,42-Rural: Distant
ALVORD H S,249901001,42,42-Rural: Distant
ALVORD MIDDLE,249901041,42,42-Rural: Distant
AMADOR R RODRIGUEZ JUVENILE BOOT CAMP,031912005,13,13-City: Small
AMANDA GARZA-PENA EL,108909118,21,21-Suburb: Large
AMANDA ROCHELL EL,199901103,21,21-Suburb: Large
AMARILLO COLLEGIATE ACADEMY,221801011,12,12-City: Mid-size
AMARILLO H S,188901001,12,12-City: Mid-size
AMBASSADORS PREPARATORY ACADEMY,084804101,31,31-Town: Fringe
AMELIA EL,123910101,12,12-City: Mid-size
AMERICAS H S,071909004,11,11-City: Large
AMHERST SCHOOL,140901001,42,42-Rural: Distant
AMI KIDS RIO GRANDE VALLEY (FKA RGMI),031906003,42,42-Rural: Distant
AMIGOS POR VIDA-FRIENDS FOR LIFE CHARTER SCHOOL,101819001,11,11-City: Large
AMOS EL,220901124,11,11-City: Large
AMPARO GUTIERREZ EL,240903114,11,11-City: Large
AMTECH CAREER ACADEMY,188901003,12,12-City: Mid-size
AMY PARKS-HEATH EL,199901106,21,21-Suburb: Large
ANAHUAC EL,036901101,42,42-Rural: Distant
ANAHUAC H S,036901001,42,42-Rural: Distant
ANAHUAC MIDDLE,036901041,42,42-Rural: Distant
ANDERSON ACADEMY,101902101,11,11-City: Large
ANDERSON EL,220901160,11,11-City: Large
ANDERSON EL,101919109,21,21-Suburb: Large
ANDERSON EL,170902101,13,13-City: Small
ANDERSON EL,101912105,11,11-City: Large
ANDERSON EL,003903120,33,33-Town: Remote
ANDERSON EL,043905105,11,11-City: Large
ANDERSON H S,227901009,11,11-City: Large
ANDERSON MILL EL,246909109,11,11-City: Large
ANDERSON-SHIRO EL,093901101,42,42-Rural: Distant
ANDERSON-SHIRO JR/SR H S,093901001,42,42-Rural: Distant
ANDRE EL,101907146,21,21-Suburb: Large
ANDRESS H S,071902001,11,11-City: Large
ANDREW JACKSON MIDDLE,057910045,21,21-Suburb: Large
ANDREWS EDUCATION CENTER,002901002,32,32-Town: Distant
ANDREWS EL,227901102,11,11-City: Large
ANDREWS EL,043910140,11,11-City: Large
ANDREWS EL,205902104,41,41-Rural: Fringe
ANDREWS H S,002901001,32,32-Town: Distant
ANDREWS MIDDLE,002901041,32,32-Town: Distant
ANDY DEKANEY H S,101919003,21,21-Suburb: Large
ANGELA GERUSA LEAL EL,031912117,22,22-Suburb: Mid-size
ANGLETON H S,020902001,41,41-Rural: Fringe
ANGLETON J H SCHOOL,020902044,23,23-Suburb: Small
ANITA SCOTT EL,199902104,21,21-Suburb: Large
ANN BROCK EL AT OAK GROVE,126902110,11,11-City: Large
ANN M GARCIA-ENRIQUEZ MIDDLE,071904041,21,21-Suburb: Large
ANN RICHARDS MIDDLE,108912045,21,21-Suburb: Large
ANN RICHARDS STEAM ACADEMY,057905353,11,11-City: Large
ANN WHITNEY EL,097902102,33,33-Town: Remote
ANNA EDUCATION CENTER,043902106,31,31-Town: Fringe
ANNA H S,043902001,41,41-Rural: Fringe
ANNA ISD DAEP,043902005,31,31-Town: Fringe
ANNA MAY DAULTON EL,220908120,21,21-Suburb: Large
ANNA MIDDLE,043902041,31,31-Town: Fringe
ANNE FRANK EL,057905280,11,11-City: Large
ANNE FRANK INSPIRE ACADEMY,015808009,11,11-City: Large
ANNE L MAGEE EL,108904126,41,41-Rural: Fringe
ANNE MCCORMICK SULLIVAN EL,079907152,41,41-Rural: Fringe
ANNETTA EL,184907106,41,41-Rural: Fringe
ANNETTE PERRY EL,220908124,21,21-Suburb: Large
ANNIE PURL EL,246904101,13,13-City: Small
ANNIE SIMS EL,225902102,33,33-Town: Remote
ANNIE WEBB BLANTON EL,057905110,11,11-City: Large
ANNUNCIATION MATERNITY HOME,227806017,41,41-Rural: Fringe
ANSON EL,127901101,42,42-Rural: Distant
ANSON H S,127901001,42,42-Rural: Distant
ANSON JONES EL,057905164,11,11-City: Large
ANSON JONES EL,021902115,13,13-City: Small
ANSON MIDDLE,127901041,42,42-Rural: Distant
ANTHONY EL,071906101,21,21-Suburb: Large
ANTHONY H S,071906001,21,21-Suburb: Large
ANTHONY MIDDLE,071906041,21,21-Suburb: Large
ANTHONY MIDDLE,101907058,41,41-Rural: Fringe
ANTON SCHOOL,110901001,42,42-Rural: Distant
ANTONIO GONZALEZ MIDDLE,240903053,11,11-City: Large
AOY EL,071902103,11,11-City: Large
APOLLO J H,057916050,12,12-City: Mid-size
APPLE SPRINGS EL,228905101,42,42-Rural: Distant
APPLE SPRINGS H S,228905001,42,42-Rural: Distant
APPLIED LEARNING ACAD,220905055,11,11-City: Large
AQUILLA SCHOOL,109912001,42,42-Rural: Distant
ARABIC IMMERSION MAGNET SCHOOL,101912478,11,11-City: Large
ARAGON MIDDLE,101907051,21,21-Suburb: Large
ARANSAS PASS H S,205901001,31,31-Town: Fringe
ARAPAHO CLASSICAL MAGNET,057916101,12,12-City: Mid-size
ARBOR CREEK EL,220916126,21,21-Suburb: Large
ARBOR CREEK MIDDLE,061902047,21,21-Suburb: Large
ARCADIA PARK EL,057905105,11,11-City: Large
ARCHER CITY EL,005901101,42,42-Rural: Distant
ARCHER CITY H S,005901001,42,42-Rural: Distant
ARDEN ROAD EL,191901106,12,12-City: Mid-size
ARGYLE H S,061910001,41,41-Rural: Fringe
ARGYLE INT,061910042,41,41-Rural: Fringe
ARGYLE MIDDLE,061910041,41,41-Rural: Fringe
ARGYLE SOUTH EL,061910104,41,41-Rural: Fringe
ARGYLE WEST,061910103,41,41-Rural: Fringe
ARISTOI CLASSICAL ACADEMY,101803041,21,21-Suburb: Large
ARISTOI CLASSICAL ACADEMY,101803002,11,11-City: Large
ARISTOI CLASSICAL UPPER SCHOOL,101803001,21,21-Suburb: Large
ARIZONA FLEMING EL,079907133,21,21-Suburb: Large
ARLINGTON CLASSICS ACADEMY - ARKANSAS CAMPUS,220802101,21,21-Suburb: Large
ARLINGTON CLASSICS ACADEMY - MIDDLE,220802040,11,11-City: Large
ARLINGTON CLASSICS ACADEMY -INTERMEDIATE,220802102,21,21-Suburb: Large
ARLINGTON COLLEGE AND CAREER H S,220901014,11,11-City: Large
ARLINGTON COLLEGIATE H S,220901011,11,11-City: Large
ARLINGTON H S,220901001,11,11-City: Large
ARLINGTON HEIGHTS H S,220905002,11,11-City: Large
ARLINGTON PARK EARLY CHILDHOOD CENTER,057905300,11,11-City: Large
ARLON R SEAY EL,046902110,41,41-Rural: Fringe
ARLYNE & ALAN WEBER EL,084910125,21,21-Suburb: Large
ARMAND BAYOU EL,084910111,11,11-City: Large
ARMANDO CERNA EL,159901121,41,41-Rural: Fringe
ARMANDO CHAPA MIDDLE,105906045,41,41-Rural: Fringe
ARMANDO CUELLAR MIDDLE,108913042,21,21-Suburb: Large
ARMENDARIZ MIDDLE,071902054,11,11-City: Large
ARMSTRONG EL,170902107,13,13-City: Small
ARMSTRONG EL,057911101,21,21-Suburb: Large
ARMSTRONG MIDDLE,043910045,11,11-City: Large
ARNOLD EL,015907101,11,11-City: Large
ARNOLD MIDDLE,101907041,21,21-Suburb: Large
ARNOLDO CANTU SR EL,108909120,21,21-Suburb: Large
ARP COOP ALTERNATIVE SCHOOL,201914004,42,42-Rural: Distant
ARP EL,212901101,42,42-Rural: Distant
ARP H S,212901001,42,42-Rural: Distant
ARP J H,212901041,42,42-Rural: Distant
ARROW ACADEMY - CHAMPIONS ACADEMY,021805105,21,21-Suburb: Large
ARROW ACADEMY - HARVEST PREPARATORY ACADEMY,021805102,11,11-City: Large
ARROW ACADEMY - LIBERATION ACADEMY,021805101,21,21-Suburb: Large
ARROW ACADEMY - SAVE OUR STREETS CENTER,021805041,13,13-City: Small
ART AND PAT GOFORTH EL,084910122,21,21-Suburb: Large
ARTHUR H MCNEIL EL,043907117,22,22-Suburb: Mid-size
ARTHUR KRAMER EL,057905169,11,11-City: Large
ARTHUR L DAVILA MIDDLE,021902047,41,41-Rural: Fringe
ARTHUR MILLER CAREER CENTER,101914004,21,21-Suburb: Large
ARTIE L HENRY MIDDLE,246913044,21,21-Suburb: Large
ARTURO SALAZAR EL,057905239,11,11-City: Large
ASA E LOW JR INT,220908207,21,21-Suburb: Large
ASCARATE EL,071905101,11,11-City: Large
ASCHER SILBERSTEIN EL,057905209,11,11-City: Large
ASHBEL SMITH EL,101911113,13,13-City: Small
ASHFORD EL,101912273,11,11-City: Large
ASHLEY EL,043905119,41,41-Rural: Fringe
ASHWORTH EL,220901149,11,11-City: Large
ASKEW EL,101912274,11,11-City: Large
ASPERMONT EL,217901101,43,43-Rural: Remote
ASPERMONT H S,217901001,43,43-Rural: Remote
ASSESSMENT CTR,220905251,11,11-City: Large
ATASCOCITA H S,101913008,41,41-Rural: Fringe
ATASCOCITA MIDDLE,101913044,11,11-City: Large
ATASCOCITA SPRINGS EL,101913126,41,41-Rural: Fringe
ATASCOSA CO ALTER,015909002,32,32-Town: Distant
ATASCOSA CO ALTER,007905004,32,32-Town: Distant
ATASCOSA COUNTY JUVENILE JUSTICE CENTER,007902005,32,32-Town: Distant
ATASCOSA JUVENILE DETENTION CTR,082903003,32,32-Town: Distant
ATHENS EL,015908115,11,11-City: Large
ATHENS H S,107901001,32,32-Town: Distant
ATHENS MIDDLE,107901041,32,32-Town: Distant
ATHERTON EL,101912106,11,11-City: Large
ATHERTON EL,220901132,11,11-City: Large
ATKINS MIDDLE,152901061,11,11-City: Large
ATKINSON EL,101917124,11,11-City: Large
ATLANTA EL,034901106,41,41-Rural: Fringe
ATLANTA H S,034901001,32,32-Town: Distant
ATLANTA MIDDLE,034901042,32,32-Town: Distant
ATLANTA PRI,034901107,41,41-Rural: Fringe
ATTUCKS MIDDLE,101912041,11,11-City: Large
ATWOOD MCDONALD EL,220905188,11,11-City: Large
AUBREY H S,061907001,41,41-Rural: Fringe
AUBREY MIDDLE,061907041,41,41-Rural: Fringe
AUDELIA CREEK EL,057916144,11,11-City: Large
AUDIE MURPHY MIDDLE,014906052,22,22-Suburb: Mid-size
AUDIE MURPHY MIDDLE,108909048,21,21-Suburb: Large
AUDRE AND BERNARD RAPOPORT ACADEMY,161802101,12,12-City: Mid-size
AUE EL,015915178,21,21-Suburb: Large
AUGUSTO GUERRA EL,108909126,21,21-Suburb: Large
AULT EL,101907133,21,21-Suburb: Large
AUSTIN ACAD FOR EXCELL,057909041,21,21-Suburb: Large
AUSTIN ACADEMIC CENTER,112901003,33,33-Town: Remote
AUSTIN ACHIEVE EL,227825003,11,11-City: Large
AUSTIN ACHIEVE H S,227825004,11,11-City: Large
AUSTIN ACHIEVE MIDDLE,227825001,11,11-City: Large
AUSTIN ACHIEVE PARMER,227825005,11,11-City: Large
AUSTIN DISCOVERY SCH,227821101,11,11-City: Large
AUSTIN EL,031903102,13,13-City: Small
AUSTIN EL,221901102,12,12-City: Mid-size
AUSTIN EL,070903101,32,32-Town: Distant
AUSTIN EL,057922103,21,21-Suburb: Large
AUSTIN EL,090904101,33,33-Town: Remote
AUSTIN EL,108904101,12,12-City: Mid-size
AUSTIN EL,226903102,13,13-City: Small
AUSTIN EL,195901106,33,33-Town: Remote
AUSTIN EL,096904101,43,43-Rural: Remote
AUSTIN EL,184903106,31,31-Town: Fringe
AUSTIN EL,170902102,41,41-Rural: Fringe
AUSTIN EL,057914125,21,21-Suburb: Large
AUSTIN EL,146902101,32,32-Town: Distant
AUSTIN EL,205902101,41,41-Rural: Fringe
AUSTIN H S,101912001,11,11-City: Large
AUSTIN H S,071902002,11,11-City: Large
AUSTIN H S,227901002,11,11-City: Large
AUSTIN ISD PREK PARTNERSHIP (PKP),227901194,11,11-City: Large
AUSTIN MIDDLE,188901041,12,12-City: Mid-size
AUSTIN MIDDLE,108909041,21,21-Suburb: Large
AUSTIN MIDDLE,057912045,11,11-City: Large
AUSTIN MIDDLE,084902041,31,31-Town: Fringe
AUSTIN MONTESSORI MAGNET,068901102,12,12-City: Mid-size
AUSTIN OAKS,227806040,11,11-City: Large
AUSTIN PARKWAY EL,079907126,12,12-City: Mid-size
AUSTIN ST HOSPITAL,227901250,11,11-City: Large
AUSTWELL-TIVOLI EL,196901102,42,42-Rural: Distant
AUSTWELL-TIVOLI H S,196901001,42,42-Rural: Distant
AUTUMN CREEK EL,101913130,21,21-Suburb: Large
AVALON SCHOOL,070901001,42,42-Rural: Distant
AVALOS P-TECH SCHOOL,101902015,21,21-Suburb: Large
AVERY EL,194902101,43,43-Rural: Remote
AVERY SECONDARY,194902001,43,43-Rural: Remote
AVINGER SCHOOL,034902001,42,42-Rural: Distant
AVONDALE EL,188901101,12,12-City: Mid-size
AXTELL EL,161918101,42,42-Rural: Distant
AXTELL H S,161918001,42,42-Rural: Distant
AXTELL MIDDLE SCHOOL,161918041,42,42-Rural: Distant
AXTELL/BE DAEP,161919005,42,42-Rural: Distant
AXTELL/BRUCEVILLE-EDDY LEARNING CENTER,161919002,42,42-Rural: Distant
AZLE EL,220915104,21,21-Suburb: Large
AZLE H S,220915001,21,21-Suburb: Large
AZLE HORNET ACADEMY,220915003,21,21-Suburb: Large
AZLE J H SOUTH,220915041,21,21-Suburb: Large
AZLEWAY - BIG SANDY,046802010,42,42-Rural: Distant
AZLEWAY - WILLOW BEND,046802011,12,12-City: Mid-size
B B OWEN EL,061902115,21,21-Suburb: Large
B F TERRY H S,079901002,21,21-Suburb: Large
B G HUDSON MIDDLE,057909052,21,21-Suburb: Large
B H HAMBLEN EL,101905042,21,21-Suburb: Large
B H MACON EL,057905180,11,11-City: Large
B L GARZA MIDDLE,108904043,12,12-City: Mid-size
B L GRAY J H,108911041,13,13-City: Small
B MCDANIEL INT,091903045,13,13-City: Small
BACK EL,057909140,21,21-Suburb: Large
BAGDAD EL,246913109,21,21-Suburb: Large
BAILEY EL,101917101,21,21-Suburb: Large
BAILEY INGLISH EARLY CHILDHOOD CENTER,074903103,32,32-Town: Distant
BAILEY INT,139911104,41,41-Rural: Fringe
BAILEY J H,220901045,11,11-City: Large
BAILEY MIDDLE,227901059,21,21-Suburb: Large
BAIRD EL,030903101,42,42-Rural: Distant
BAIRD H S,030903001,42,42-Rural: Distant
BAKER EL,106901101,33,33-Town: Remote
BAKER MIDDLE,178904041,11,11-City: Large
BAKER-KOONCE INT,183902101,32,32-Town: Distant
BAKER-RIPLEY CHARTER SCHOOL,101853106,11,11-City: Large
BALDWIN EL,227901187,11,11-City: Large
BALL EARLY CHILDHOOD CENTER,094901101,31,31-Town: Fringe
BALL H S,084902001,31,31-Town: Fringe
BALLINGER EL,200901101,32,32-Town: Distant
BALLINGER H S,200901001,41,41-Rural: Fringe
BALLINGER J H,200901041,41,41-Rural: Fringe
BALMORHEA SCHOOL,195902001,43,43-Rural: Remote
BAMMEL EL,101919102,21,21-Suburb: Large
BAMMEL MIDDLE,101919046,21,21-Suburb: Large
BANDERA H S,010902001,42,42-Rural: Distant
BANDERA MIDDLE,010902041,42,42-Rural: Distant
BANE EL,101907101,11,11-City: Large
BANG EL,101907125,21,21-Suburb: Large
BANGS H S,025901001,42,42-Rural: Distant
BANGS MIDDLE,025901041,42,42-Rural: Distant
BANQUETE EL,178913101,42,42-Rural: Distant
BANQUETE H S,178913001,42,42-Rural: Distant
BANQUETE J H,178913041,42,42-Rural: Distant
BANUELOS EL,101911125,13,13-City: Small
BARACK OBAMA MALE LEADERSHIP ACAD AT A MACEO SMITH,057905381,11,11-City: Large
BARANOFF EL,227901182,11,11-City: Large
BARBARA BUSH PRI,112901102,33,33-Town: Remote
BARBARA CARDWELL CAREER PREPARATORY CENTER,057912005,11,11-City: Large
BARBARA COCKRELL EL,020908113,21,21-Suburb: Large
BARBARA CULVER JUVENILE DETENTION CENTER,165901020,12,12-City: Mid-size
BARBARA FASKEN EL,165901133,41,41-Rural: Fringe
BARBARA FASKEN EL,240903131,11,11-City: Large
BARBARA JORDAN EL,079907141,21,21-Suburb: Large
BARBARA JORDAN EL,057905133,11,11-City: Large
BARBARA JORDAN EL,068901129,41,41-Rural: Fringe
BARBARA JORDAN INT,094902109,21,21-Suburb: Large
BARBARA M MANNS H S DAEP,057905029,11,11-City: Large
BARBARA M MANNS MIDDLE DAEP,057905011,11,11-City: Large
BARBARA WALKER EL,129901103,31,31-Town: Fringe
BARBARA YARBROUGH EL,165901132,41,41-Rural: Fringe
BARBERS HILL EL NORTH,036902104,41,41-Rural: Fringe
BARBERS HILL EL SOUTH,036902105,41,41-Rural: Fringe
BARBERS HILL H S,036902001,41,41-Rural: Fringe
BARBERS HILL INT NORTH,036902044,41,41-Rural: Fringe
BARBERS HILL INT SOUTH,036902045,41,41-Rural: Fringe
BARBERS HILL MIDDLE NORTH,036902042,41,41-Rural: Fringe
BARBERS HILL MIDDLE SOUTH,036902043,41,41-Rural: Fringe
BARBERS HILL PREKINDERGARTEN CENTER,036902303,41,41-Rural: Fringe
